lgdCode,name,nameTa,typeCode
253041,Puthukkadai,புதுக்கடை,7
252923,Rajapalayam,Rajapalayam,5
252957,Ramanathapuram,Ramanathapuram,5
290447,Rameswaram,ராமேஸ்வரம்,5
252364,Ranipet,Ranipet,5
252512,Rasipuram,Rasipuram,5
252988,Rayagiri,ராயகிரி,7
253067,Reethapuram,ரீத்தாபுரம்,7
252510,R.Pudupatti,ஆர் புதுப்பட்டி,7
252951,R.S.Mangalam,ஆர் எஸ் மங்கலம்,7
252588,Rudravathi,ருத்ராவதி,7
252540,Salangapalayam,சலங்கபாளையம்,7
252474,Salem,Salem,4
252630,Samalapuram,சாமளாபுரம்,7
252677,Samathur,சமத்தூர்,7
252995,Sambavar Vadagarai,சாம்பவார்வடகரை,7
252686,Sankaramanallur,சங்கராமநல்லூர்,7
252992,Sankarankovil,சங்கரன்கோவில்,5
252448,Sankarapuram,சங்கராபுரம்,7
252473,Sankari,சங்ககிரி,5
253009,Sankarnagar,சங்கர்நகர்,7
252642,Sarcarsamakulam,சர்க்கார்சாமகுளம்,7
252986,Sathankulam,சாத்தான்குளம்,7
252528,Sathyamangalam,Sathyamangalam,5
252948,Sattur,Sattur,5
252956,Sayalgudi,சாயல்குடி,7
252973,Sayapuram,சாயர்புரம்,7
252513,Seerapalli,சீராப்பள்ளி,7
252924,Seithur,சேத்தூர்,7
253006,Sengottai,செங்கோட்டை,5
252517,Senthamangalam,சேந்தமங்கலம்,7
252498,Sentharapatti,செந்தாரப்பட்டி,7
252778,Sethiathoppu,சேத்தியாதோப்பு,7
252716,Sevugampatti,சேவுகம்பட்டி,7
252882,Sholavandan,சோழவந்தான்,7
252360,Sholingur,சோளிங்கர்,5
252598,Sholur,சோலூர்,7
252856,Singampuneri,சிங்கம்புனரி,7
252791,Sirkali,சீர்காழி,5
252748,Sirugamani,சிறுகமணி,7
252611,Sirumugai,சிறுமுகை,7
252710,Sithayankottai,சித்தையன்கோட்டை,7
252866,Sivagangai,Sivagangai,5
252579,Sivagiri,சிவகிரி,7
252987,Sivagiri,சிவகிரி,7
252938,Sivakasi,Sivakasi,4
252742,S. Kannanur,எஸ். கண்ணணூர்,7
252928,S.Kodikulam,எஸ் கொடிக்குளம்,7
252783,Srimushnam,ஸ்ரீமுஷ்ணம்,7
252299,Sriperumbudur,திருப்பெரும்புதூர்,5
252704,Sriramapuram,ஸ்ரீராமபுரம்,7
252976,Srivaikuntam,ஸ்ரீவைகுண்டம்,7
252932,Srivilliputhur,Srivilliputhur,5
253082,Suchindrum,சுசீந்திரம்,7
252676,Suleeswaranpatti,சூளேஸ்வரன்பட்டி,7
252632,Sulur,சூலூர்,7
252930,Sundarapandiam,சுந்தரபாண்டியம்,7
252998,Sundarapandiapuram,சுந்தரபாண்டியபுரம்,7
252993,Surandai,சுரண்டை,5
252822,Swamimalai,சுவாமிமலை,7
252319,Tambaram,Tambaram,4
252997,Tenkasi,Tenkasi,5
252703,Thadikombu,தாடிக்கொம்பு,7
252370,Thakkolam,தக்கோலம்,7
252801,Thalainayar,தலைஞாயிறு,7
252901,Thamaraikulam,தாமரைக்குளம்,7
252497,Thammampatti,தம்மம்பட்டி,7
252833,Thanjavur,Thanjavur,4
252466,Tharamangalam,தாரமங்கலம்,5
252796,Tharangambadi,தரங்கம்பாடி,7
252737,Thathaiyangarpet,தாத்தையங்கார்பேட்டை,7
253075,Thazhakudy,தாழக்குடி,7
252495,Thedavur,தெடாவூர்,7
252905,Theni-Allinagaram,தேனி அல்லிநகரம்,5
252660,Thenkarai,தென்கரை,7
252903,Thenkarai,தென்கரை,7
253087,Thenthamaraikulam,தென்தாமரைக்குளம்,7
252978,Thenthiruperai,தென்திருப்பேரை,7
253077,Therur,தேரூர்,7
252908,Thevaram,தேவாரம்,7
252472,Thevur,தேவூர்,7
252450,Thiagadurgam,தியாகதுருகம்,7
253071,Thingalnagar,திங்கள்நகர்,7
253048,Thirparappu,திற்பரப்பு,7
253027,Thirukarungudi,திருக்கரன்குடி,7
252831,Thirukkattupalli,திருக்காட்டுப்பள்ளி,7
252667,Thirumalayampalayam,திருமலையாம்பாளையம்,7
252279,Thirumazhisai,திருமழிசை,7
252616,Thirumuruganpoondi,திருமுருகன்பூண்டி,5
252824,Thirunageswaram,திருநாகேஸ்வரம்,7
252275,Thirunindravur,திருநின்றவூர்,5
252398,Thirupathur,Thirupathur,5
252332,Thiruporur,திருப்போரூர்,7
252814,Thiruppanandal,திருப்பனந்தாள்,7
252816,Thirupuvanam,திருபுவனம்,7
252867,Thirupuvanam,திருபுவனம்,7
252812,Thiruthuraipoondi,Thiruthuraipoondi,5
252830,Thiruvaiyaru,திருவையாறு,5
252359,Thiruvalam,திருவலம்,7
252434,Thiruvannamalai,Thiruvannamalai,5
252424,Thiruvathipuram,Thiruvathipuram,5
253049,Thiruvattar,திருவட்டாறு,7
252991,Thiruvengadam,திருவேங்கடம்,7
252447,Thiruvennainallur,திருவெண்ணைநல்லூர்,7
252277,Thiruverkadu,திருவேற்காடு,5
252817,Thiruvidaimarudur,திருவிடைமருதூர்,7
253059,Thiruvithancode,திருவிதாங்கோடு,7
253030,Thisayanvilai,திசையன்விளை,7
252797,Thittachery,திட்டச்சேரி,7
252657,Thondamuthur,தொண்டமுத்தூர்,7
252950,Thondi,தொண்டி,7
252970,Thoothukudi,Thoothukudi,4
252771,Thorapadi,தொரப்பாடி,7
252734,Thottiyam,தொட்டியம்,7
252741,Thuraiyur,Thuraiyur,5
252754,Thuvakudi,Thuvakudi,5
252375,Timiri,திமிரி,7
252438,Tindivanam,Tindivanam,5
252984,Tiruchendur,திருச்செந்தூர்,5
252502,Tiruchengode,Tiruchengode,5
252749,Tiruchirappalli,Tiruchirappalli,4
252343,Tirukalukundram,திருக்கழுக்குன்றம்,7
252446,Tirukkoyilur,திருக்கோயிலூர்,5
252888,Tirumangalam,திருமங்கலம்,5
253011,Tirunelveli,Tirunelveli,4
252857,Tirupathur,திருப்பத்தூர்,7
252621,Tiruppur,Tiruppur,4
252269,Tiruttani,Tiruttani,5
252273,Tiruvallur,Tiruvallur,5
252808,Tiruvarur,Tiruvarur,5
252789,Tittakudi,திட்டக்குடி,5
252887,T.Kallupatti,தே.கல்லுப்பட்டி,7
252985,Udangudi,உடன்குடி,7
252766,Udayarpalayam,உடையார்பாளையம்,7
252600,Udhagamandalam,Udhagamandalam,5
252683,Udumalpet,உடுமலைப்பேட்டை,5
252453,Ulundurpettai,உளுந்தூர்பேட்டை,5
252581,Unjalur,ஊஞ்சலூர்,7
253039,Unnamalaikadai,உண்ணாமலைக்கடை,7
252727,Uppidamangalam,உப்பிடாமங்கலம்,7
252739,Uppiliapuram,உப்பிலியாபுரம்,7
252884,Usilampatti,Usilampatti,5
252915,Uthamapalayam,உத்தமபாளையம்,7
252411,Uthangarai,ஊத்தங்கரை,7
252392,Uthayendram,உதயேந்திரம்,7
252342,Uthiramerur,உத்திரமேரூர்,7
252268,Uthukkottai,ஊத்துக்கோட்டை,7
252560,Uthukuli,ஊத்துக்குளி,7
253003,Vadakarai Keezhpadugai,வடகரை கீழ்பிடாகை,7
252449,Vadakkanandal,வடக்கநந்தல்,7
253029,Vadakkuvalliyur,வடக்குவள்ளியூர்,7
252776,Vadalur,வடலூர்,5
252700,Vadamadurai,வடமதுரை,7
252881,Vadipatti,வாடிப்பட்டி,7
252576,Vadugapatti,வடுகப்பட்டி,7
252904,Vadugapatti,வடுகப்பட்டி,7
252792,Vaitheeswarankoil,வைத்தீஸ்வரன்கோயில்,7
252803,Valangaiman,வலங்கைமான்,7
252443,Valavanur,வளவனூர்,7
252836,Vallam,வல்லம்,7
252689,Valparai,Valparai,5
253056,Valvaithankoshtam,வாள்வச்சகோஸ்டம்,7
252460,Vanavasi,வனவாசி,7
252426,Vandavasi,Vandavasi,5
252542,Vaniputhur,வாணிபுத்தூர்,7
252394,Vaniyambadi,Vaniyambadi,5
252764,Varadarajanpettai,வரதராஜன்பேட்டை,7
252989,Vasudevanallur,வாசுதேவநல்லூர்,7
252488,Vazhapadi,வாழப்பாடி,7
252655,Vedapatti,வேடப்பட்டி,7
252802,Vedaranyam,Vedaranyam,5
252697,Vedasandur,வேடசந்தூர்,7
252494,Veeraganur,வீரகனூர்,7
252456,Veerakkalpudur,வீரக்கல்புதூர்,7
252626,Veerapandi,வீரபாண்டி,7
253018,Veeravanallur,வீரகனூர்,7
252800,Velankanni,வேளாங்கண்ணி,7
252587,Vellakoil,Vellakoil,5
252664,Vellalur,வெள்ளலூர்,7
253072,Vellimalai,வெள்ளிமலை,7
252381,Vellore,Vellore,4
252578,Vellottamparappu,வெள்ளோட்டம்பரப்பு,7
252523,Velur,வேலூர்,7
252582,Vengambur,வெங்கம்பூர்,7
252526,Venkarai,வெங்கரை,7
252508,Vennanthur,வெண்ணந்தூர்,7
252815,Veppathur,வேப்பத்தூர்,7
253054,Verkilambi,வேர்கிளம்பி,7
252680,Vettaikaranpudur,வேட்டைக்காரன்புதூர்,7
252435,Vettavalam,வேட்டவலம்,7
253015,Vikramasingapuram,Vikramasingapuram,5
252441,Vikravandi,விக்ரவாண்டி,7
252374,Vilapakkam,விளாப்பாக்கம்,7
252968,Vilathikulam,விளாத்திக்குளம்,7
253060,Vilavur,விளாவூர்,7
253062,Villukuri,வில்லுக்குரி,7
252442,Villupuram,Villupuram,5
252787,Virudhachalam,Virudhachalam,5
252943,Virudhunagar,Virudhunagar,5
252967,V. Pudur,வி. புதூர்,7
252341,Walajabad,வாலாஜாபாத்,7
252365,Walajapet,வாலாஜாபேட்டை,5
260677,Watrap,வத்திராயிருப்பு,7
260678,W.Pudhupatti,வ. புதுப்பட்டி,7
252673,Zamin Uthukuli,ஜமீன் ஊத்துக்குளி,7
